rank,company,score,percent,ticker,rrf
1,Xylem Inc.,0,0.0,XYL,0.01639344262295082
2,Amazon,8,14.54545455,AMZN,0.016129032258064516
3,Microsoft,7,12.72727273,MSFT,0.015873015873015872
4,Autodesk,6,10.90909091,ADSK,0.015625
5,Apple Inc.,5,9.090909091,AAPL,0.015384615384615385
6,IBM,4,7.272727273,IBM,0.015151515151515152
7,"Tesla, Inc.",3,5.454545455,TSLA,0.014925373134328358
8,Oracle Corporation,2,3.636363636,ORCL,0.014705882352941176
9,Cisco,1,1.818181818,CSCO,0.014492753623188406
