rank,company,score,percent,ticker
1,Evoqua,10,18.18181818,
2,Schnitzer,9,16.36363636,
3,Amazon,8,14.54545455,
4,Microsoft,7,12.72727273,
5,Autodesk,6,10.90909091,
6,Apple,5,9.090909091,
7,IBM,4,7.272727273,
8,Tesla,3,5.454545455,
9,Oracle,2,3.636363636,
10,Cisco,1,1.818181818,
